date,storage,inflow,outflow,elevation,evaporation
1979-06-28,3.622,NA,1.982,NA,0
1979-06-29,3.665,2.482,1.982,NA,0
1979-06-30,3.665,1.841,1.841,NA,0
1979-07-01,3.755,2.883,1.841,NA,0
1979-07-02,3.83,2.711,1.841,NA,0
1979-07-03,3.845,1.502,1.331,NA,0
1979-07-04,3.936,2.416,1.359,NA,0
1979-07-05,3.476,2.632,7.957,NA,0
1979-07-06,2.857,4.84,12.006,NA,0
1979-07-07,2.26,-0.397,6.513,NA,0
1979-07-08,1.657,0.041,7.023,NA,0
1979-07-09,1.666,1.445,1.331,NA,0
1979-07-10,1.676,1.304,1.189,NA,0
1979-07-11,1.707,1.433,1.076,NA,0
1979-07-12,1.739,1.476,1.104,NA,0
1979-07-13,1.78,1.604,1.133,NA,0
1979-07-14,1.77,1.018,1.133,NA,0
1979-07-15,1.791,1.404,1.161,NA,0
1979-07-16,1.802,1.289,1.161,NA,0
1979-07-17,1.812,1.275,1.161,NA,0
1979-07-18,1.812,1.161,1.161,NA,0
1979-07-19,1.812,1.161,1.161,NA,0
1979-07-20,1.833,1.404,1.161,NA,0
1979-07-21,1.833,1.161,1.161,NA,0
1979-07-22,1.93,2.289,1.161,NA,0
1979-07-23,1.919,1.032,1.161,NA,0
1979-07-24,1.953,1.546,1.161,NA,0
1979-07-25,1.964,1.289,1.161,NA,0
1979-07-26,1.975,1.289,1.161,NA,0
1979-07-27,1.975,1.161,1.161,NA,0
1979-07-28,NA,NA,NA,NA,NA
1979-07-29,NA,NA,NA,NA,NA
1979-07-30,1.93,NA,1.133,NA,0
1979-07-31,1.908,0.593,0.85,NA,0
1979-08-01,1.908,0.85,0.85,NA,0
1979-08-02,1.898,0.509,0.623,NA,0
1979-08-03,1.898,0.623,0.623,NA,0
1979-08-04,1.898,0.623,0.623,NA,0
1979-08-05,1.887,0.494,0.623,NA,0
1979-08-06,1.876,0.494,0.623,NA,0
1979-08-07,1.876,0.481,0.481,NA,0
1979-08-08,1.898,0.738,0.481,NA,0
1979-08-09,1.93,0.853,0.481,NA,0
1979-08-10,1.942,0.61,0.481,NA,0
1979-08-11,1.964,0.738,0.481,NA,0
1979-08-12,1.964,0.481,0.481,NA,0
1979-08-13,1.975,0.61,0.481,NA,0
1979-08-14,2.019,0.995,0.481,NA,0
1979-08-15,2.041,0.738,0.481,NA,0
1979-08-16,NA,NA,NA,NA,NA
1979-08-17,2.097,NA,0.51,NA,0
1979-08-18,NA,NA,NA,NA,NA
1979-08-19,NA,NA,NA,NA,NA
1979-08-20,2.26,NA,0.51,NA,0
1979-08-21,2.318,1.181,0.51,NA,0
1979-08-22,2.355,0.938,0.51,NA,0
1979-08-23,2.403,1.066,0.51,NA,0
1979-08-24,2.439,0.924,0.51,NA,0
1979-08-25,NA,NA,NA,NA,NA
1979-08-26,NA,NA,NA,NA,NA
1979-08-27,NA,NA,NA,NA,NA
1979-08-28,2.513,NA,0.51,NA,0
1979-08-29,NA,NA,NA,NA,NA
1979-08-30,NA,NA,NA,NA,NA
1979-08-31,2.525,NA,0.51,NA,0
1979-09-01,NA,NA,NA,NA,NA
1979-09-02,NA,NA,NA,NA,NA
1979-09-03,NA,NA,NA,NA,NA
1979-09-04,2.513,NA,0.51,NA,0
1979-09-05,NA,NA,NA,NA,NA
1979-09-06,NA,NA,NA,NA,NA
1979-09-07,2.488,NA,0.51,NA,0
1979-09-08,NA,NA,NA,NA,NA
1979-09-09,NA,NA,NA,NA,NA
1979-09-10,2.451,NA,0.51,NA,0
1979-09-11,2.426,0.224,0.51,NA,0
1979-09-12,2.414,0.367,0.51,NA,0
1979-09-13,2.403,0.381,0.51,NA,0
1979-09-14,2.378,0.224,0.51,NA,0
1979-09-15,NA,NA,NA,NA,NA
1979-09-16,NA,NA,NA,NA,NA
1979-09-17,NA,NA,NA,NA,NA
1979-09-18,NA,NA,NA,NA,NA
1979-09-19,NA,NA,NA,NA,NA
1979-09-20,NA,NA,NA,NA,NA
1979-09-21,NA,NA,NA,NA,NA
1979-09-22,NA,NA,NA,NA,NA
1979-09-23,NA,NA,NA,NA,NA
1979-09-24,NA,NA,NA,NA,NA
1979-09-25,NA,NA,NA,NA,NA
1979-09-26,NA,NA,NA,NA,NA
1979-09-27,NA,NA,NA,NA,NA
1979-09-28,NA,NA,NA,NA,NA
1979-09-29,NA,NA,NA,NA,NA
1979-09-30,NA,NA,NA,NA,NA
1979-10-01,NA,NA,NA,NA,NA
1979-10-02,NA,NA,NA,NA,NA
1979-10-03,1.791,NA,0.51,NA,0
1979-10-04,NA,NA,NA,NA,NA
1979-10-05,NA,NA,NA,NA,NA
1979-10-06,NA,NA,NA,NA,NA
1979-10-07,NA,NA,NA,NA,NA
1979-10-08,1.749,NA,0.283,NA,0
1979-10-09,NA,NA,NA,NA,NA
1979-10-10,NA,NA,NA,NA,NA
1979-10-11,NA,NA,NA,NA,NA
1979-10-12,NA,NA,NA,NA,NA
1979-10-13,NA,NA,NA,NA,NA
1979-10-14,NA,NA,NA,NA,NA
1979-10-15,NA,NA,NA,NA,NA
1979-10-16,NA,NA,NA,NA,NA
1979-10-17,NA,NA,NA,NA,NA
1979-10-18,NA,NA,NA,NA,NA
1979-10-19,NA,NA,NA,NA,NA
1979-10-20,NA,NA,NA,NA,NA
1979-10-21,NA,NA,NA,NA,NA
1979-10-22,NA,NA,NA,NA,NA
1979-10-23,NA,NA,NA,NA,NA
1979-10-24,NA,NA,NA,NA,NA
1979-10-25,NA,NA,NA,NA,NA
1979-10-26,NA,NA,NA,NA,NA
1979-10-27,NA,NA,NA,NA,NA
1979-10-28,NA,NA,NA,NA,NA
1979-10-29,NA,NA,NA,NA,NA
1979-10-30,NA,NA,NA,NA,NA
